,precision,recall,f1-score,support
0,0.883056640625,0.9046457825298568,0.8937208512215462,15993.0
1,0.8795513782481637,0.8532025743181122,0.8661766421654417,13052.0
accuracy,0.8815286624203822,0.8815286624203822,0.8815286624203822,0.8815286624203822
macro avg,0.8813040094365818,0.8789241784239845,0.8799487466934939,29045.0
weighted avg,0.881481475035657,0.8815286624203822,0.8813432641463086,29045.0
