Model,Accuracy,Precision,Recall,F1 Score,Training Time,Prediction Time
XGBoost,0.9078671027715614,0.9078136845712708,0.9078671027715614,0.9078035701882148,3.114367723464966,0.06351256370544434
Random Forest,0.907660526768807,0.9076356701688539,0.907660526768807,0.9076459971890047,19.63485884666443,0.23764705657958984
Extra Trees,0.8947839559304528,0.8990712150061684,0.8947839559304528,0.8950520113108423,9.119280099868774,0.28058552742004395
Decision Tree,0.8815286624203822,0.881481475035657,0.8815286624203822,0.8813432641463086,2.6351852416992188,0.009058237075805664
KNN,0.8424857978998106,0.8426590102907281,0.8424857978998106,0.8425551785962897,0.485457181930542,82.7317407131195
