Model,Accuracy,Precision,Recall,F1 Score,Training Time,Prediction Time
XGBoost,0.997025218037996,0.9966250053339967,0.997025218037996,0.9967555833528121,75.24428582191467,0.6360883712768555
Random Forest,0.9966533702927456,0.9962538612261999,0.9966533702927456,0.9962302394317832,5.766790866851807,0.7528810501098633
Decision Tree,0.9948279359069705,0.9949820731663572,0.9948279359069705,0.9948328053283506,0.45897698402404785,0.010010719299316406
Extra Trees,0.9945575011831519,0.9941815732543987,0.9945575011831519,0.9937907921664342,5.521312236785889,0.7547924518585205
KNN,0.9906,0.9899410328730628,0.9906,0.990033689672927,0.1986527442932129,36.31198239326477
