Model,Accuracy,Precision,Recall,F1 Score,Training Time,Prediction Time
Decision Tree,0.998593070198628,0.998577919722188,0.998593070198628,0.9985843171238252,98.3594377040863,0.24400854110717773
Random Forest,0.9984944954991688,0.9984232237153191,0.9984944954991688,0.9984441858368498,229.37914896011353,2.1405134201049805
Extra Trees,0.9978963263001779,0.9978435103774287,0.9978963263001779,0.9978590843854921,110.09693646430969,2.312964677810669
XGBoost,0.9988171036064898,0.9987527253835718,0.9988171036064898,0.9987232094689211,224.11654472351074,2.0121517181396484
KNN,0.9947,0.9945480507537698,0.9947,0.994567744991771,0.33103346824645996,31.46887230873108
