,precision,recall,f1-score,support
Benign,0.9999924792752756,0.9999952140711778,0.9999938466713568,1462621.0
DDoS attacks-LOIC-HTTP,0.9999392540396064,0.9999045453756573,0.9999218994064355,115238.0
accuracy,0.9999885921365598,0.9999885921365598,0.9999885921365598,0.9999885921365598
macro avg,0.9999658666574409,0.9999498797234175,0.9999578730388962,1577859.0
weighted avg,0.9999885920016294,0.9999885921365598,0.9999885920453636,1577859.0
