Model,Accuracy,Precision,Recall,F1 Score,Training Time,Prediction Time
XGBoost,0.9999968311490444,0.9999968312137386,0.9999968311490444,0.999996831168043,183.38822984695435,1.7617080211639404
Decision Tree,0.9999885921365598,0.9999885920016294,0.9999885921365598,0.9999885920453636,138.79478406906128,1.9822468757629395
Random Forest,0.9999689452606348,0.9999689445370639,0.9999689452606348,0.9999689448261806,980.9128036499023,4.798921823501587
Extra Trees,0.9996045274007374,0.9996046026637218,0.9996045274007374,0.999604562168927,599.9254779815674,6.743418216705322
KNN,0.9994,0.9993996950536866,0.9994,0.9993998107017776,0.5268056392669678,34.57153010368347
