Model,Accuracy,Precision,Recall,F1 Score,Training Time,Prediction Time
XGBoost,0.9988731119584553,0.9988247493163838,0.9988731119584553,0.9988278163203267,891.9419505596161,7.179996490478516
Decision Tree,0.9985953105327067,0.9985217461779309,0.9985953105327067,0.9985364844363128,86.06393027305603,0.17278766632080078
Random Forest,0.9984989761673261,0.9984332720653751,0.9984989761673261,0.9983544913140996,678.9853100776672,5.85233211517334
Extra Trees,0.9969733086597874,0.9969735852904432,0.9969733086597874,0.9965361035436682,310.18199038505554,6.706761121749878
KNN,0.9941,0.9940190804682217,0.9941,0.9939444529789085,0.4794614315032959,45.61726427078247
